1,3,5,22,2019-02-20,2019-02-20,1996
2,5,5,7,2019-06-30,2019-07-03,1843
3,17,5,3,2019-03-09,2019-03-11,2016
4,24,3,6,2019-04-19,2019-04-22,1857
5,8,10,3,2019-02-24,2019-02-26,2049
6,14,5,23,2019-05-15,2019-05-19,1986
7,13,2,6,2019-05-01,2019-05-04,1989
8,22,5,29,2019-03-29,2019-04-03,1874
9,17,7,13,2019-05-10,2019-05-13,2027
10,1,2,21,2019-03-17,2019-03-19,2010
11,11,5,19,2019-05-12,2019-05-17,2006
12,19,10,2,2019-02-26,2019-02-26,1915
13,20,6,9,2019-06-12,2019-06-17,2089
14,24,5,3,2019-06-04,2019-06-06,1942
15,10,10,1,2019-02-22,2019-02-23,2071
16,17,4,13,2019-05-29,2019-05-29,2035
17,4,1,11,2019-04-09,2019-04-13,1810
18,9,8,11,2019-04-21,2019-04-23,2017
19,3,7,29,2019-05-11,2019-05-15,2095
20,1,10,2,2019-06-17,2019-06-17,2020
21,13,6,1,2019-04-12,2019-04-15,2077
22,16,6,8,2019-06-02,2019-06-03,1867
23,19,9,17,2019-05-12,2019-05-17,1862
24,13,6,20,2019-04-06,2019-04-07,1855
25,21,4,21,2019-04-26,2019-04-28,2033
26,25,10,8,2019-03-16,2019-03-21,2034
27,8,2,3,2019-05-06,2019-05-09,1865
28,15,3,1,2019-06-05,2019-06-07,1997
29,22,7,8,2019-05-07,2019-05-12,2032
30,13,3,7,2019-05-06,2019-05-06,2011
31,14,1,21,2019-03-26,2019-03-28,1867
32,19,9,13,2019-03-14,2019-03-18,1963
33,6,1,20,2019-04-15,2019-04-16,1845
34,13,2,26,2019-06-28,2019-07-02,2020
35,15,4,2,2019-06-22,2019-06-25,1938
36,5,1,18,2019-06-01,2019-06-06,1980
37,11,4,20,2019-03-21,2019-03-23,2037
38,24,6,23,2019-05-31,2019-06-01,1970
39,7,10,18,2019-05-02,2019-05-03,1900
40,21,1,9,2019-06-15,2019-06-19,1888
41,17,10,4,2019-02-20,2019-02-25,2042
42,9,1,5,2019-03-04,2019-03-04,1821
43,4,3,10,2019-05-21,2019-05-24,2009
44,20,1,14,2019-04-02,2019-04-02,1837
45,13,9,21,2019-06-08,2019-06-10,1971
46,6,3,21,2019-05-28,2019-05-30,1818
47,15,5,6,2019-02-22,2019-02-22,2031
48,9,7,8,2019-06-04,2019-06-09,1938
49,1,2,22,2019-03-08,2019-03-10,1975
50,23,10,1,2019-02-27,2019-03-04,2014
51,17,10,15,2019-03-15,2019-03-19,1958
52,21,10,1,2019-05-11,2019-05-11,2024
53,12,1,20,2019-04-20,2019-04-20,1946
54,23,6,22,2019-05-07,2019-05-09,1855
55,13,5,15,2019-03-05,2019-03-09,2039
56,16,3,28,2019-03-18,2019-03-21,1991
57,3,5,5,2019-03-18,2019-03-18,1914
58,7,5,28,2019-04-21,2019-04-22,1890
59,23,7,24,2019-06-21,2019-06-24,1840
60,15,1,4,2019-03-27,2019-03-28,2004
61,9,2,20,2019-03-08,2019-03-08,2075
62,23,5,2,2019-05-10,2019-05-11,1838
63,5,9,30,2019-05-21,2019-05-22,1974
64,23,4,8,2019-02-26,2019-03-02,2064
65,22,8,18,2019-05-22,2019-05-22,1836
66,11,4,17,2019-04-20,2019-04-20,1800
67,2,7,7,2019-06-22,2019-06-25,2070
68,4,5,26,2019-04-11,2019-04-14,2001
69,11,6,20,2019-02-20,2019-02-21,1858
70,16,4,11,2019-05-26,2019-05-26,1983
71,6,1,9,2019-06-08,2019-06-08,1853
72,7,2,25,2019-06-14,2019-06-14,1813
73,11,7,19,2019-03-27,2019-03-31,1950
74,6,5,24,2019-06-23,2019-06-23,1831
75,20,9,13,2019-06-03,2019-06-07,2049
76,7,8,30,2019-05-13,2019-05-17,1843
77,24,1,30,2019-06-26,2019-06-30,1881
78,18,5,25,2019-05-19,2019-05-24,1810
79,7,7,5,2019-04-28,2019-05-02,1899
80,16,1,9,2019-06-15,2019-06-17,1812
81,22,2,22,2019-04-08,2019-04-13,1921
82,9,6,24,2019-04-03,2019-04-03,1945
83,11,6,2,2019-04-01,2019-04-05,1990
84,6,8,25,2019-04-16,2019-04-18,1956
85,23,10,15,2019-04-05,2019-04-05,1927
86,23,6,4,2019-04-23,2019-04-27,1801
87,11,6,18,2019-03-22,2019-03-22,1802
88,9,5,17,2019-02-27,2019-02-27,1851
89,16,4,24,2019-06-22,2019-06-22,2089
90,7,5,25,2019-03-27,2019-03-30,1967
91,21,1,9,2019-05-07,2019-05-12,1826
92,24,9,30,2019-05-13,2019-05-13,1864
93,13,5,12,2019-03-10,2019-03-13,2056
94,18,6,4,2019-05-22,2019-05-25,1986
95,22,2,28,2019-02-21,2019-02-21,1861
96,5,10,17,2019-06-22,2019-06-26,1860
97,16,9,1,2019-02-27,2019-03-03,2100
98,8,3,2,2019-05-29,2019-05-29,2054
99,1,3,30,2019-03-30,2019-04-01,1886
100,15,8,20,2019-06-12,2019-06-14,1939
