1,2019-01-25,2019,Tesla Model S P90D,LWJ2929,Disponivel,1800
2,2019-01-04,2019,Volvo XC90 T8 Hybrid,LWJ2930,Disponivel,1600
3,2019-01-10,2019,BMW 750i xDrive,LWJ2931,Disponivel,1450
4,2019-01-28,2019,Mercedes-Benz S65 AMG Coupe,LWJ2932,Disponivel,1950
5,2019-01-12,2019,Infiniti Q50S 3.7 Sedan,LWJ2933,Disponivel,2100
6,2019-01-30,2019,Volvo XC90 T8 Hybrid,LWJ2934,Disponivel,1600
7,2019-01-06,2019,BMW 750i xDrive,LWJ2935,Disponivel,1450
8,2019-01-24,2019,Infiniti Q50S 3.7 Sedan,LWJ2936,Disponivel,2100
9,2019-01-27,2019,BMW 750i xDrive,LWJ2937,Disponivel,1450
10,2019-01-19,2019,Tesla Model S P90D,LWJ2938,Disponivel,1800
11,2019-01-27,2019,Infiniti Q50S 3.7 Sedan,LWJ2939,Disponivel,2100
12,2019-01-27,2019,BMW 750i xDrive,LWJ2940,Disponivel,1450
13,2019-01-21,2019,Mercedes-Benz S65 AMG Coupe,LWJ2941,Disponivel,1950
14,2019-01-10,2019,Infiniti Q50S 3.7 Sedan,LWJ2942,Disponivel,2100
15,2019-01-07,2019,Volvo XC90 T8 Hybrid,LWJ2943,Disponivel,1600
16,2019-01-25,2019,Volvo XC90 T8 Hybrid,LWJ2944,Disponivel,1600
17,2019-01-22,2019,Volvo XC90 T8 Hybrid,LWJ2945,Disponivel,1600
18,2019-01-24,2019,BMW 750i xDrive,LWJ2946,Disponivel,1450
19,2019-01-16,2019,Mercedes-Benz S65 AMG Coupe,LWJ2947,Disponivel,1950
20,2019-01-30,2019,Volvo XC90 T8 Hybrid,LWJ2948,Disponivel,1600
21,2019-01-04,2019,Tesla Model S P90D,LWJ2949,Disponivel,1800
22,2019-01-23,2019,Infiniti Q50S 3.7 Sedan,LWJ2950,Disponivel,2100
23,2019-01-13,2019,BMW 750i xDrive,LWJ2951,Disponivel,1450
24,2019-01-05,2019,Volvo XC90 T8 Hybrid,LWJ2952,Disponivel,1600
25,2019-01-06,2019,Mercedes-Benz S65 AMG Coupe,LWJ2953,Indisponivel,1950
26,2019-01-05,2019,BMW 750i xDrive,LWJ2954,Disponivel,1450
27,2019-01-30,2019,Tesla Model S P90D,LWJ2955,Disponivel,1800
28,2019-01-28,2019,BMW 750i xDrive,LWJ2956,Disponivel,1450
29,2019-01-15,2019,Infiniti Q50S 3.7 Sedan,LWJ2957,Disponivel,2100
30,2019-01-12,2019,BMW 750i xDrive,LWJ2958,Disponivel,1450
